"Company Location","Job Functions","Employment Type","Industry","Company Name","position","Seniority Level"
"Trzemeszno Lubuskie, PL","Management Manufacturing","Full-time","Internet","BetaMed SA","Pielęgniarka","Entry level",
"Trzemeszno Lubuskie, PL","Health Care Provider","Full-time","Hospital & Health Care","BetaMed SA","Pielęgniarka","Associate",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Executive Assistant (Wrocław, 3349502)","Associate",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Executive Assistant (Wrocław, 3349502)","Associate",
"Wrocław, PL","Management Manufacturing","Full-time","Design Staffing & Recruiting Human Resources","Company Location","HYDRAULIK","Entry level",
"Wrocław, PL","Management Manufacturing","Full-time","Design Staffing & Recruiting Human Resources","Company Location","HYDRAULIK","Entry level",
"Łódź, PL","Management Manufacturing","Full-time","Real Estate","KOB","Cieśla","Entry level",
"Łódź, PL","Management Manufacturing","Full-time","Real Estate","KOB","Cieśla","Entry level",
"Poznań, PL","Sales Business Development","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Product Specialist","Associate",
"Poznań, PL","Sales Business Development","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Product Specialist","Associate",
"Legnica, PL","Other","Full-time","Financial Services","PROFI CREDIT Polska S.A.","Ciekawa oferta","Associate",
"Legnica, PL","Other","Full-time","Financial Services","PROFI CREDIT Polska S.A.","Ciekawa oferta","Associate",
"Konin, PL","Other","Full-time","Financial Services","Diseldorf","Drogowiec Niemcy","Associate",
"Konin, PL","Other","Full-time","Financial Services","Diseldorf","Drogowiec Niemcy","Associate",
"Wiślinka, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","HYDRAULIK – do przyuczenia","Entry level",
"Miedźna, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","IT Helpdesk","Entry level",
"Nakło nad Notecią, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","diagnosta klimatyzacji","Entry level",
"Zgierz, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Koordynator woj. Łódzkie","Associate",
"Bydgoszcz, PL","Engineering Information Technology","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Ślusarz","Entry level",
"Zaścianki, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Administrator ds. IT","Entry level",
"Praszka, PL","Engineering Information Technology","Full-time","Internet","MCK","Operator maszyn","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Junior Google Ads Specialist (Warszawa, 3350496)","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Junior Google Ads Specialist (Warszawa, 3350496)","Entry level",
"Gdynia, PL","Sales Business Development","Full-time","Staffing & Recruiting","InterKadra Sp. z o.o.","Merchandiser mobilny","Entry level",
"Gdynia, PL","Sales Business Development","Full-time","Staffing & Recruiting","InterKadra Sp. z o.o.","Merchandiser mobilny","Entry level",
"Głogów, PL","Other","Full-time","Financial Services","PROFI CREDIT Polska S.A.","Ciekawa oferta","Entry level",
"Głogów, PL","Other","Full-time","Financial Services","PROFI CREDIT Polska S.A.","Ciekawa oferta","Entry level",
"Opole, PL","Other","Full-time","Financial Services","ART BAU GmbH","Zbrojarz (NIEMCY)","Entry level",
"Opole, PL","Other","Full-time","Financial Services","ART BAU GmbH","Zbrojarz (NIEMCY)","Entry level",
"Trzebnica, PL","Other","Full-time","Internet","Progres Sp. Z o.o.","Praca w markecie - 23zł/h - od zaraz","Entry level",
"Trzebnica, PL","Other","Full-time","Internet","Progres Sp. Z o.o.","Praca w markecie - 23zł/h - od zaraz","Entry level",
"Konstantynów Łódzki, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Koordynator woj. Łódzkie","Associate",
"Konstantynów Łódzki, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Koordynator woj. Łódzkie","Associate",
"Warsaw, PL","Human Resources","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Junior IT Recruiter","Entry level",
"Warsaw, PL","Human Resources","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Junior IT Recruiter","Entry level",
"Warsaw, PL","Engineering Information Technology","Contract","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","Principal Data Scientist","Entry level",
"Warsaw, PL","Engineering Information Technology","Contract","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","Principal Data Scientist","Entry level",
"Warsaw, PL","Management Manufacturing","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Kucharz","Entry level",
"Pruszcz Gdański, PL","Sales Business Development","Full-time","Staffing & Recruiting","InterKadra Sp. z o.o.","Merchandiser mobilny","Entry level",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","Jobman Group Sp. z o.o.","Wykładanie towaru","Entry level",
"Dąbrowa Górnicza, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","METMECH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Tokarz","Entry level",
"Łódź, PL","Finance Sales","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Analyst with foreign languages","Entry level",
"Pruszcz Gdański, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","ELEKTRYK","Entry level",
"Warsaw, PL","Other","Full-time","Logistics & Supply Chain","Global Spolka z o.o.","PRACA! wykładanie towaru - Warszawa Białołęka","Entry level",
"Lublin, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Kucharz","Entry level",
"Rymanów-Zdrój, PL","Marketing Sales","Full-time","Internet","MCK","SPECJALISTA DS HANDLU I MARKETINGU","Associate",
"Zaścianki, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Administrator ds. IT","Entry level",
"Zaścianki, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Administrator ds. IT","Entry level",
"Warsaw, PL","Engineering Information Technology","Contract","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","Machine Learning Engineer","Entry level",
"Bydgoszcz, PL","Engineering Information Technology","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Programista","Entry level",
"Bydgoszcz, PL","Engineering Information Technology","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Programista","Entry level",
"Tarnów, PL","Other","Full-time","Information Technology & Services Financial Services Hospital & Health Care","Jobman Group Sp. z o.o.","Wykładanie towaru","Entry level",
"Tarnów, PL","Other","Full-time","Information Technology & Services Financial Services Hospital & Health Care","Jobman Group Sp. z o.o.","Wykładanie towaru","Entry level",
"Zawiercie, PL","Other","Full-time","Information Technology & Services Financial Services Hospital & Health Care","ARK Jobs.sp .z o.o.","AUTOMATYK","Entry level",
"Zawiercie, PL","Other","Full-time","Information Technology & Services Financial Services Hospital & Health Care","ARK Jobs.sp .z o.o.","AUTOMATYK","Entry level",
"Warząchewka Polska, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Koordynator woj. Łódzkie","Associate",
"Warząchewka Polska, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Koordynator woj. Łódzkie","Associate",
"Rymanów-Zdrój, PL","Health Care Provider","Full-time","Internet","MCK","FIZJOTERAPEUTA","Entry level",
"Rymanów-Zdrój, PL","Health Care Provider","Full-time","Internet","MCK","FIZJOTERAPEUTA","Entry level",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Executive Assistant (Wrocław , 3348811)","Associate",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Executive Assistant (Wrocław , 3348811)","Associate",
"Bydgoszcz, PL","Engineering Information Technology","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Programista","Entry level",
"Wrocław, PL","Other","Full-time","Information Technology & Services Financial Services Hospital & Health Care","Jobman Group Sp. z o.o.","Wykładanie towaru","Entry level",
"Wrocław, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Koordynowanie projektem","Entry level",
"Katowice, PL","Management Manufacturing","Full-time","Staffing & Recruiting","InterKadra Sp. z o.o.","Kompletacja zamówień/ picker/ magazynier","Entry level",
"Gdańsk, PL","Other","Full-time","Staffing & Recruiting","PROFIT4YOU Sp. z o.o.","POKOJOWAPOKOJOWY","Entry level",
"Kobyłka, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Wykładanie towaru i prace porządkowe Kobyłka!","Entry level",
"Pruszcz Gdański, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","Stolarz - pomocnik","Entry level",
"Zambrów, PL","Business Development Sales","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","referent","Entry level",
"Krosno, PL","Management Manufacturing","Full-time","Internet","MCK","LOGISTYK","Entry level",
"Warsaw, PL","Marketing Public Relations Writing/Editing","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Traffic Specialist (retargeting) (Warszawa, 3334905)","Entry level",
"Katowice, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","DevOps Engineer","Entry level",
"Katowice, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","DevOps Engineer","Entry level",
"Bydgoszcz, PL","Engineering Information Technology","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Programista","Entry level",
"Bydgoszcz, PL","Engineering Information Technology","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Programista","Entry level",
"Bydgoszcz, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Czynności produkcyjne","Entry level",
"Bydgoszcz, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Czynności produkcyjne","Entry level",
"Witomino, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Takeaway.com","Dostarczaj z jedzenia Gdynia","Entry level",
"Witomino, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Takeaway.com","Dostarczaj z jedzenia Gdynia","Entry level",
"Wiślinka, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","Stolarz - pomocnik","Entry level",
"Wiślinka, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","Stolarz - pomocnik","Entry level",
"Warsaw, PL","Marketing Public Relations Writing/Editing","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Traffic Specialist (retargeting) (Warszawa, 3348508)","Entry level",
"Warsaw, PL","Marketing Public Relations Writing/Editing","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Traffic Specialist (retargeting) (Warszawa, 3348508)","Entry level",
"Katowice, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","DevOps Engineer","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","IT Test Analyst (ISTQB)","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","Jobman Group Sp. z o.o.","Wykładanie towaru","Entry level",
"Kraków, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","Jobman Group Sp. z o.o.","Wykładanie towaru","Entry level",
"Kraków, PL","Sales Business Development","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Magazynier-kierowca","Entry level",
"Warząchewka Polska, PL","Other","Full-time","Staffing & Recruiting Human Resources Retail","InterKadra Sp. z o.o.","Murarz","Entry level",
"Wrocław, PL","Management Manufacturing","Full-time","Staffing & Recruiting Human Resources Retail","Antal Poland","Operations Specialist","Entry level",
"Wiślinka, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","ELEKTRYK – do przyuczenia","Entry level",
"Kwidzyn, PL","Other","Full-time","Logistics & Supply Chain","Global Spolka z o.o.","Inwentaryzacja Kwidzyń","Entry level",
"Lublin, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Fakturzystka","Entry level",
"Warsaw, PL","Marketing Public Relations Writing/Editing","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Traffic Specialist (retargeting) (Warszawa, 3349500)","Entry level",
"Warsaw, PL","Quality Assurance","Contract","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","Staff QA Engineer - Network","Associate",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","Jobman Group Sp. z o.o.","Wykładanie towaru","Associate",
"Warsaw, PL","Sales Business Development","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Magazynier","Entry level",
"Warsaw, PL","Sales Business Development","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Magazynier","Entry level",
"Toruń, PL","Other","Full-time","Logistics & Supply Chain","Global Spolka z o.o.","Inwentaryzacja Toruń","Entry level",
"Bartniczka, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Wędliniarz","Entry level",
"Wrocław, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Technical Support (E-commerce) (Wrocław, 3350836)","Entry level",
"Wrocław, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Technical Support (E-commerce) (Wrocław, 3350836)","Entry level",
"Pruszcz Gdański, PL","Engineering Information Technology","Full-time","Internet","Progres Sp. Z o.o.","ŚLUSARZ/SPAWACZ","Entry level",
"Pruszcz Gdański, PL","Engineering Information Technology","Full-time","Internet","Progres Sp. Z o.o.","ŚLUSARZ/SPAWACZ","Entry level",
"Warsaw, PL","Other","Full-time","Internet","PFR S.A.","Koordynator Programu PFR GREEN HUB","Entry level",
"Warsaw, PL","Other","Full-time","Internet","PFR S.A.","Koordynator Programu PFR GREEN HUB","Entry level",
"Grabianów, PL","Sales Business Development","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Magazynier Siedlce","Entry level",
"Grabianów, PL","Sales Business Development","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Magazynier Siedlce","Entry level",
"Grabianów, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Wulkanizator","Entry level",
"Grabianów, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Wulkanizator","Entry level",
"Suchedniów, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Tartacznik","Entry level",
"Częstochowa, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","ewidencjowanie ilości klientów","Entry level",
"Częstochowa, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","ewidencjowanie ilości klientów","Entry level",
"Kolbuszowa, PL","Sales Business Development","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Magazynier","Entry level",
"Łódź, PL","Other","Full-time","Government Administration","Securitas Polska Sp. z o. o.","Securitas Polska Sp. z o. o.: Koordynator Ochrony","Entry level",
"Mława, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","sprzątaczka","Entry level",
"Mława, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","sprzątaczka","Entry level",
"Ostróda, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","sprzątacz","Entry level",
"Ostróda, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","sprzątacz","Entry level",
"Ochmanów, PL","Sales Business Development","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Magazynier-Specjalista","Entry level",
"Konin, PL","Other","Full-time","Government Administration","Securitas Polska Sp. z o. o.","Securitas Polska Sp. z o. o.: Koordynator Ochrony","Entry level",
"Konin, PL","Other","Full-time","Government Administration","Securitas Polska Sp. z o. o.","Securitas Polska Sp. z o. o.: Koordynator Ochrony","Entry level",
"Radzymin, PL","Other","Full-time","Electrical & Electronic Manufacturing Food & Beverages Food Production","Coberon","Lider utrzymania ruchu/Lider mechaników","Entry level",
"Radzymin, PL","Other","Full-time","Electrical & Electronic Manufacturing Food & Beverages Food Production","Coberon","Lider utrzymania ruchu/Lider mechaników","Entry level",
"Ząbki, PL","Other","Full-time","Electrical & Electronic Manufacturing Food & Beverages Food Production","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Entry level",
"Ząbki, PL","Other","Full-time","Electrical & Electronic Manufacturing Food & Beverages Food Production","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Entry level",
"Piaseczno, PL","Other","Full-time","Electrical & Electronic Manufacturing Food & Beverages Food Production","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Entry level",
"Piaseczno, PL","Other","Full-time","Electrical & Electronic Manufacturing Food & Beverages Food Production","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Entry level",
"Piastów, PL","Other","Full-time","Electrical & Electronic Manufacturing Food & Beverages Food Production","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Entry level",
"Piastów, PL","Other","Full-time","Electrical & Electronic Manufacturing Food & Beverages Food Production","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services","Exorigo-Upos sp. z o.o.","Junior System Administrator","Entry level",
"Sokołów Podlaski, PL","Education Training","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Nauczyciel","Entry level",
"Warsaw, PL","Other","Full-time","Government Administration","Wirginia Szymańska","Digital Analyst","Entry level",
"Kostry Śmiejki, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Pakowacz ręczny","Entry level",
"Sochaczew, PL","Information Technology","Full-time","Information Technology & Services","Exorigo-Upos sp. z o.o.","Junior System Administrator","Entry level",
"Sochaczew, PL","Information Technology","Full-time","Information Technology & Services","Exorigo-Upos sp. z o.o.","Junior System Administrator","Entry level",
"Warsaw, PL","Other","Full-time","Online Media Internet Management Consulting","Flying Bisons","Junior Digital Analyst","Entry level",
"Warsaw, PL","Other","Full-time","Online Media Internet Management Consulting","Flying Bisons","Junior Digital Analyst","Entry level",
"Gliwice, PL","Quality Assurance","Full-time","Defense & Space Chemicals Computer Games","The Farm 51 Group SA","Junior Tester","Entry level",
"Pszczyna, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","robotnik magazynowy","Entry level",
"Zawiercie, PL","Other","Full-time","Government Administration","Ark Jobs Sp. z o.o","Automatyk","Entry level",
"Łask, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Tatuażysta","Entry level",
"Gdańsk, PL","Other","Full-time","Government Administration",""BEKERS" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Szlifierz","Entry level",
"Ownia, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Glazurnik","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Government Administration","Dana.pl Sp. z o.o.","Szwaczka","Entry level",
"Bartniczka, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Pakowacz","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Government Administration","Dana.pl Sp. z o.o.","Krojczy","Entry level",
"Pruszcz Gdański, PL","Other","Full-time","Government Administration","Dana.pl Sp. z o.o.","Krojczy","Entry level",
"Gliwice, PL","Quality Assurance","Full-time","Information Technology & Services Computer Software Internet","React Poland","Junior QA","Entry level",
"Gliwice, PL","Quality Assurance","Full-time","Information Technology & Services Computer Software Internet","React Poland","Junior QA","Entry level",
"Kostrzyn nad Odrą, PL","Other","Full-time","Information Technology & Services Computer Software Internet","HANKE TISSUE Sp. z o.o.","SUSZARNIOWY","Entry level",
"Kostrzyn nad Odrą, PL","Other","Full-time","Information Technology & Services Computer Software Internet","HANKE TISSUE Sp. z o.o.","SUSZARNIOWY","Entry level",
"Rumia, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Gdynia","Entry level",
"Rumia, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Gdynia","Entry level",
"Reda, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Takeaway. com","Takeaway. com: Dostarczaj Z Jedzenia Gdynia","Entry level",
"Mińsk Mazowiecki, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Polernik/Szlifierz meblowych","Entry level",
"Mińsk Mazowiecki, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Polernik/Szlifierz meblowych","Entry level",
"Słupsk, PL","Other","Full-time","Staffing & Recruiting Human Resources Banking","TOMEK","Do ogrodu.","Entry level",
"Słupsk, PL","Other","Full-time","Staffing & Recruiting Human Resources Banking","TOMEK","Do ogrodu.","Entry level",
"Warsaw, PL","Information Technology","Full-time","Construction Automotive Utilities","AVL Software and Functions","Junior IT Administrator with English(m/f/d)","Entry level",
"Warsaw, PL","Information Technology","Full-time","Construction Automotive Utilities","AVL Software and Functions","Junior IT Administrator with English(m/f/d)","Entry level",
"Zawiercie, PL","Other","Full-time","Construction Automotive Utilities","Górnicki","Praca","Entry level",
"Zawiercie, PL","Other","Full-time","Construction Automotive Utilities","Górnicki","Praca","Entry level",
"Warsaw, PL","Other","Full-time","Research Insurance Financial Services","TalentU","DIgital Analyst","Entry level",
"Warsaw, PL","Finance Sales","Full-time","Research Insurance Financial Services","KRAKEN BITCOIN EXCHANGE","Compliance Associate","Entry level",
"Ząbki, PL","Management Manufacturing","Full-time","Research Insurance Financial Services","Takeaway. com","Takeaway. com: Kurier Warszawa","Entry level",
"Piaseczno, PL","Management Manufacturing","Full-time","Research Insurance Financial Services","Takeaway. com","Takeaway. com: Kurier Warszawa","Entry level",
"Piastów, PL","Management Manufacturing","Full-time","Research Insurance Financial Services","Takeaway. com","Takeaway. com: Kurier Warszawa","Entry level",
"Zawiercie, PL","Other","Full-time","Research Insurance Financial Services","Ark Jobs Sp. z o.o","Automatyk","Entry level",
"Łódź, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","lento.pl","opiekunk","Entry level",
"Grudziądz, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","Miejskie Wodociągi i Oczyszczalnia Sp. z o.o.","Automatyk","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Restaurants Food & Beverages Hospital & Health Care","DDB Warszawa Sp z o.o.","Strategic Planner","Associate",
"Warsaw, PL","Business Development Sales","Full-time","Restaurants Food & Beverages Hospital & Health Care","DDB Warszawa Sp z o.o.","Strategic Planner","Associate",
"Gdańsk, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","MW PROJECTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ GUP w Gdańsku","Salowa","Associate",
"Gdańsk, PL","Other","Full-time","Restaurants Food & Beverages Hospital & Health Care","MW PROJECTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ GUP w Gdańsku","Salowa","Associate",
"Bolęcin, PL","Other","Full-time","Automotive","Wojam Sp. z o.o.","Lakiernik","Associate",
"Bralin, PL","Other","Full-time","Automotive","MCK Pleszew","Szwaczka maszynowa","Associate",
"Bralin, PL","Other","Full-time","Automotive","MCK Pleszew","Szwaczka maszynowa","Associate",
"Warsaw, PL","Other","Full-time","Automotive","Instytut Hematologii i Transfuzjologii","Salowa","Associate",
"Warsaw, PL","Other","Full-time","Automotive","Instytut Hematologii i Transfuzjologii","Salowa","Associate",
"Koszalin, PL","Other","Full-time","Automotive","Ag Work","Wzmocnienie","Associate",
"Ząbki, PL","Other","Full-time","Automotive","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Warszawa","Associate",
"Ząbki, PL","Other","Full-time","Automotive","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Warszawa","Associate",
"Piaseczno, PL","Other","Full-time","Automotive","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Warszawa","Associate",
"Piła, PL","Other","Full-time","Automotive","Centralna Baza Ofert Pracy","ZALEWACZ FORM","Associate",
"Piła, PL","Other","Full-time","Automotive","Centralna Baza Ofert Pracy","ZALEWACZ FORM","Associate",
"Zduńska Wola, PL","Other","Full-time","Automotive","GOLDENCOM Spółka z O.O.","Szwaczka","Associate",
"Zduńska Wola, PL","Other","Full-time","Automotive","GOLDENCOM Spółka z O.O.","Szwaczka","Associate",
"Płock, PL","Other","Full-time","Automotive","Zerke","Koordynator robót","Associate",
"Jawiszowice, PL","Other","Full-time","Automotive","Kuratorium Oświaty w Krakowie","Surdopedagogika","Associate",
"Jawiszowice, PL","Other","Full-time","Automotive","Kuratorium Oświaty w Krakowie","Tyflopedagogika","Associate",
"Nowogard, PL","Other","Full-time","Automotive","Jrzy Furmańczyk","Żałobnik","Associate",
"Wrocław, PL","Other","Full-time","Automotive","Inspire","Theory of Matter under Extreme Conditions in Astrophysics","Associate",
"Warsaw, PL","Quality Assurance","Full-time","Information Technology & Services Computer Software Hospital & Health Care","Mindbox","Junior Manual Tester @ Mindbox","Entry level",
"Gliwice, PL","Other","Full-time","Defense & Space Chemicals Computer Games","The Farm 51 Group SA","Junior Community","Entry level",
"Gorzów Wielkopolski, PL","Other","Full-time","Defense & Space Chemicals Computer Games","ECO S.C","Koordynator","Associate",
"Katowice, PL","Engineering Information Technology","Full-time","Defense & Space Chemicals Computer Games","STORKJET SP. Z O.O.","Product Owner","Director",
"Katowice, PL","Engineering Information Technology","Full-time","Defense & Space Chemicals Computer Games","STORKJET SP. Z O.O.","Product Owner","Director",
"Gdynia, PL","Other","Full-time","Defense & Space Chemicals Computer Games","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdynia","Director",
"Reda, PL","Other","Full-time","Defense & Space Chemicals Computer Games","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdynia","Director",
"Reda, PL","Other","Full-time","Defense & Space Chemicals Computer Games","Takeaway. com","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdynia","Director",
"Gdańsk, PL","Other","Full-time","Defense & Space Chemicals Computer Games","MW PROJECTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Salowa","Director",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","TAP.TALENT","Executive Board Assistant","Entry level",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","TAP.TALENT","Executive Board Assistant","Entry level",
