,Time,Experience,Role,Industry,Size,Company,Salary,Remote,Locations,Tags,Min_Salary,Max_Salary,Currency,Min_Annual_Eur_Salary,Max_Annual_Eur_Salary,Additional
3389,Full-time,"Mid-Level, Senior, Lead","DevOps, QA/Test Developer","Information Technology, Software Development",5k–10k people,Private,£50k - 85k (British Pounds),None,"Aldershot,UK","['java', 'testing', 'jdbc', 'c#', 'maven']",50000.0,85000.0,£,56818.181818181816,96590.90909090909,
3391,Full-time,"Mid-Level, Senior",Backend Developer,"Banking, Financial Services, Financial Technology",10k+ people,Public,None,On-siteandlimitedremote,"Providence,RI",[],0.0,0.0,,,,
3395,Full-time,"Junior, Mid-Level",Full Stack Developer,"Financial Technology, Fundraising",51–200 people,Private,$70k - 85k (US Dollars),Remote,"Brooklyn,NY",[],70000.0,85000.0,$,64814.81481481481,78703.7037037037,
3398,Full-time,None,Mobile Developer,None,None,None,None,None,"Kolkata,India","['android', 'mobile', 'java']",0.0,0.0,,,,
3401,Full-time,"Junior, Mid-Level","Frontend Developer, Full Stack Developer","Collaboration Tools, Natural User Interaction, Software Development / Engineering",51–200 people,Public,None,On-siteandlimitedremote,"LosAngeles,CA",[],0.0,0.0,,,,
3405,Full-time,None,Mobile Developer,None,None,None,None,None,"Indore,India","['wordpress', 'android', 'php']",0.0,0.0,,,,
3407,Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['ios', 'java', 'mobile']",0.0,0.0,,,,
3408,Full-time,Senior,QA/Test Developer,"Automotive, Car Dealer, Software Development / Engineering",1k–5k people,None,None,None,"Berlin,Germany","['qa', 'testing', 'automation', 'selenium', 'java']",0.0,0.0,,,,
3410,Full-time,"Mid-Level, Senior",DevOps,"E-Commerce, Information Technology, Marketplace",501–1k people,None,None,None,"Köln,Deutschland","['cloud', 'kubernetes', 'google-cloud-platform', 'microservices']",0.0,0.0,,,,
3418,Full-time,None,Mobile Developer,None,None,None,None,None,"Kunitachi,Japan","['objective-c', 'python', 'java']",0.0,0.0,,,,
3420,Full-time,"Junior, Mid-Level",System Administrator,"Big Data, Computer Software, Internet of Things",11–50 people,Private,$80k - 110k (US Dollars),None,"Rockville,MD","['amazon-web-services', 'docker', 'terraform', 'kubernetes-helm', 'google-cloud-platform']",80000.0,110000.0,$,74074.07407407407,101851.85185185184,
3421,Contract,"Junior, Mid-Level",Frontend Developer,"Agile Software Development, eLearning, Web Development",1–10 people,Private,None,None,"Berlin,Deutschland","['web-frontend', 'angular', 'typescript']",0.0,0.0,,,,
3422,Full-time,"Mid-Level, Senior",Mobile Developer,"eCommerce, Software Development, Web Development",11–50 people,Private,£35k - 60k (British Pounds),On-siteandlimitedremote,"London,UK",[],35000.0,60000.0,£,39772.72727272727,68181.81818181818,
3423,Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India",['php'],0.0,0.0,,,,
3427,Full-time,None,Frontend Developer,None,None,None,None,None,"Kolkata,India","['php', 'jquery', 'oop']",0.0,0.0,,,,
3428,Full-time,Student,QA/Test Developer,"Venture Funding, Web Technology",51–200 people,None,None,None,"Berlin,Germany","['cucumber', 'selenium', 'testing', 'github', 'kanban']",0.0,0.0,,,,
3432,Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['android', 'c#', 'xamarin']",0.0,0.0,,,,
3433,Full-time,"Mid-Level, Senior",Mobile Developer,"Cryptocurrency, Software Development / Engineering",51–200 people,Private,None,None,"Seoul,SouthKorea","['java', 'android', 'kotlin', 'mvvm', 'mvp']",0.0,0.0,,,,
3434,Full-time,Senior,Embedded Developer,None,None,None,None,None,"Mannheim,Deutschland","['embedded', 'c++', 'c', 'ethernet']",0.0,0.0,,,,
3435,Full-time,Senior,Backend Developer,None,None,None,€60k - 75k (Euros),None,"Berlin,Germany","['node.js', 'javascript', 'sql', 'graphql', 'kubernetes']",60000.0,75000.0,€,60000.0,75000.0,
3443,Full-time,None,QA/Test Developer,None,None,None,None,None,"Bengaluru,India","['c', '.net', 'testing']",0.0,0.0,,,,
3445,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['php', 'mysql', 'jquery']",0.0,0.0,,,,
3447,Full-time,None,Mobile Developer,None,None,None,None,None,"ShibuyaCity,Japan","['php', 'ruby', 'android']",0.0,0.0,,,,
3449,Full-time,"Mid-Level, Senior",Backend Developer,"Computer Software, Enterprise Software, Web Hosting",11–50 people,Private,None,Remote,Noofficelocation,"['ruby-on-rails', 'ruby', 'api', 'grape', 'rspec']",0.0,0.0,,,,
3450,Full-time,"Junior, Mid-Level, Senior",Mobile Developer,"Automotive, Mobile Application, Transportation",11–50 people,Private,$120k - 240k (US Dollars),None,"NewYork,NY","['ios', 'android', 'mobile', 'multithreading', 'push-notification']",120000.0,240000.0,$,111111.11111111111,222222.22222222222,
3454,Full-time,Mid-Level,Full Stack Developer,"IT Consulting, Software Development / Engineering, Web Development",11–50 people,Private,None,None,"Brussels,Belgium","['java', 'spring', 'hibernate']",0.0,0.0,,,,
3455,Full-time,"Junior, Mid-Level, Senior",DevOps,"Agile Software Development, Cloud Computing, Java",1–10 people,Public,None,On-siteandlimitedremote,"Ludwigsburg,Deutschland",[],0.0,0.0,,,,
3457,Full-time,None,Mobile Developer,None,None,None,None,None,"ShibuyaCity,Japan","['swift', 'mysql', 'jenkins']",0.0,0.0,,,,
3459,Full-time,None,Database Administrator,None,None,None,None,None,"ChiyodaCity,Japan","['php', 'java', 'oracle']",0.0,0.0,,,,
3460,Full-time,"Senior, Lead","Backend Developer, Full Stack Developer","eCommerce, Food & Beverage, Logistics & Distribution",10k+ people,Public,None,None,"Berlin,Germany","['reactjs', 'node.js', 'api']",0.0,0.0,,,,
3461,Full-time,None,Data Scientist,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"Austin,TX","['r', 'hadoop', 'python']",0.0,0.0,,,,
3462,Full-time,None,Database Administrator,None,None,None,None,None,"Bengaluru,India","['oracle', 'sql', 'sql-server']",0.0,0.0,,,,
3463,Full-time,"Mid-Level, Senior",Designer,"eCommerce, Healthcare, Software Development / Engineering",1k–5k people,Private,$85k - 105k (US Dollars),On-siteandlimitedremote,"Durham,NC",[],85000.0,105000.0,$,78703.7037037037,97222.22222222222,
3471,Full-time,Mid-Level,Data Scientist,"Email Marketing, Online Media",5k–10k people,Private,None,None,"Karlsruhe,Deutschland",['powerbi'],0.0,0.0,,,,
3472,Full-time,Senior,System Administrator,"proptech, portal, Real Estate",501–1k people,Private,None,None,"London,UK","['amazon-web-services', 'elasticsearch', 'amazon-route53', 'aws-lambda', 'redis', 'sysadmin']",0.0,0.0,,,,
3473,Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['javascript', 'reactjs', 'html5']",0.0,0.0,,,,
3481,Full-time,Senior,Embedded Developer,"Embedded, Hardware Engineering, Software Development / Engineering",51–200 people,Private,None,None,"GrandRapids,MI","['embedded', 'c', 'firmware', 'software-design', 'rtos']",0.0,0.0,,,,
3483,Full-time,None,Full Stack Developer,None,None,None,None,None,"Hyderabad,India","['node.js', 'linux', 'javascript']",0.0,0.0,,,,
3488,Full-time,"Mid-Level, Senior",Mobile Developer,"Communications, Government, Mobile Application",1–10 people,Private,$85k - 100k (US Dollars),Remote,Noofficelocation,[],85000.0,100000.0,$,78703.7037037037,92592.59259259258,
3490,Full-time,None,Frontend Developer,None,None,None,None,None,"Kobe,Japan","['php', 'jquery', 'css3']",0.0,0.0,,,,
3493,Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['reactjs', 'ios', 'iphone']",0.0,0.0,,,,
3494,Full-time,None,Database Administrator,None,None,None,None,None,"Higashihiroshima,Japan","['python', 'oracle', 'sql']",0.0,0.0,,,,
3496,Contract,"Student, Junior",Frontend Developer,"IT Consulting, Logistics & Distribution",11–50 people,Private,None,On-siteandlimitedremote,"München,Deutschland",[],0.0,0.0,,,,
3500,Full-time,Senior,"Database Administrator, QA/Test Developer","Digital Health, Healthcare, Medical Software",1k–5k people,Private,None,None,"Artigues-près-Bordeaux,France","['java', 'java-ee', 'junit', 'maven', 'oracle']",0.0,0.0,,,,
3501,Full-time,"Junior, Mid-Level, Senior","Frontend Developer, Full Stack Developer","Computer Software, Industrial Automation, Manufacturing",11–50 people,Private,None,None,"ElDoradoHills,CA","['java', 'sql', 'react', 'python', 'typescript']",0.0,0.0,,,,
3502,Full-time,Senior,DevOps,"Energy & Utilities, Green Energy",501–1k people,Private,£80k - 95k (British Pounds),None,"London,UK","['python', 'google-cloud-platform', 'javascript', 'kubernetes', 'linux']",80000.0,95000.0,£,90909.09090909091,107954.54545454546,
3504,Full-time,"Mid-Level, Senior",Database Administrator,"Software Development, Transportation",501–1k people,VC Funded,None,None,"Tallinn,Estonia","['mysql', 'percona', 'database', 'database-administration']",0.0,0.0,,,,
3506,Full-time,"Senior, Lead","Frontend Developer, Full Stack Developer","Artificial Intelligence, Enterprise Software, it & service",51–200 people,Public,€50k - 90k (Euros),None,"München,Germany","['javascript', 'node.js', 'vue.js', 'feathersjs']",50000.0,90000.0,€,50000.0,90000.0,
3508,Full-time,None,Mobile Developer,None,None,None,None,None,"ShibuyaCity,Japan","['android', 'mobile', 'swift']",0.0,0.0,,,,
3509,Full-time,Senior,Embedded Developer,"Machine Learning, Medical Devices, Virtual Reality",10k+ people,Private,None,None,"Oberkochen,Germany","['embedded', 'c++', 'c']",0.0,0.0,,,,
3510,Full-time,"Junior, Senior","DevOps, Full Stack Developer","Bioinformatics, Biotechnology, Science",51–200 people,Private,€50k - 70k (Euros),None,"Hamburg,Deutschland","['typescript', 'javascript', 'nodejs', 'react', 'devops']",50000.0,70000.0,€,50000.0,70000.0,
3512,Full-time,"Junior, Mid-Level","Mobile Developer, System Administrator","Electronic equipment, Electronics, Software Development / Engineering",501–1k people,Private,None,None,"Klaus,Austria","['windows', 'office365', 'powershell', 'sysadmin', 'mobile']",0.0,0.0,,,,
3517,Full-time,"Mid-Level, Senior, Lead",DevOps,"Banking, Manufacturing, Retail",51–200 people,None,None,None,"London,UK","['cloud', 'java', 'node.js', 'continuous-integration', 'containers']",0.0,0.0,,,,
3520,Full-time,"Mid-Level, Senior",Mobile Developer,"Software Development, Software Development / Engineering",11–50 people,Private,€60k - 72k (Euros),None,"Berlin,Germany","['android', 'mobile', 'kotlin', 'algorithm']",60000.0,72000.0,€,60000.0,72000.0,
3521,Full-time,Senior,Backend Developer,"IT Consulting, IT Security, Software Development",51–200 people,Private,€55k - 70k (Euros),None,"Nürnberg,Germany","['.net', 'c#', 'sql']",55000.0,70000.0,€,55000.0,70000.0,
3522,Full-time,Senior,"Backend Developer, Full Stack Developer","Artificial Intelligence, Enterprise Software, SaaS",11–50 people,VC Funded,None,Remote,Noofficelocation,"['scala', 'python', 'api', 'amazon-web-services', 'mongodb']",0.0,0.0,,,,
3523,Full-time,"Mid-Level, Senior",Embedded Developer,"Financial Technology, Proprietary Trading/ Market Making",1k–5k people,Private,€100k - 140k (Euros),None,"Amsterdam,Netherlands","['c++', 'cpu', 'architecture', 'c++17']",100000.0,140000.0,€,100000.0,140000.0,
3524,Full-time,Senior,Backend Developer,eCommerce,10k+ people,Public,None,None,"Berlin,Germany","['elasticsearch', 'search', 'java', 'scala', 'backend']",0.0,0.0,,,,
3527,Full-time,None,DevOps,None,None,None,None,None,"Thiruvananthapuram,India","['amazon-web-services', 'cloud']",0.0,0.0,,,,
3528,Full-time,"Mid-Level, Senior",Mobile Developer,"Agile Software Development, Defence & Security, Network Engineering",51–200 people,Private,None,None,"McLean,VA","['android', 'java', 'lineageos', 'cyanogenmod', 'android-rom']",0.0,0.0,,,,
3530,Full-time,Mid-Level,Full Stack Developer,"Architecture, Computer Software, Interior Design",11–50 people,Private,None,None,"Sassenheim,Netherlands","['.net', 'c#']",0.0,0.0,,,,
3531,Full-time,"Junior, Mid-Level, Senior","DevOps, System Administrator","Cloud Computing, Cloud Services, Web Hosting",11–50 people,Private,None,On-siteandlimitedremote,"Lüneburg,Deutschland",[],0.0,0.0,,,,
3533,Full-time,None,Frontend Developer,None,None,None,None,None,"Noida,India","['javascript', 'css', 'html5']",0.0,0.0,,,,
3535,Full-time,None,Product Manager,None,None,None,None,None,"MinatoCity,Japan","['go', 'security', 'project-management']",0.0,0.0,,,,
3537,Full-time,"Junior, Mid-Level, Senior",DevOps,"Logistics & Distribution, Shipping, Transportation",5k–10k people,Private,None,None,"Copenhagen,Denmark","['kubernetes', '.net', 'c#', 'reactjs', 'docker']",0.0,0.0,,,,
3539,Full-time,"Mid-Level, Senior",Frontend Developer,"Computer Software, Expense Management, SaaS",201–500 people,Private,None,On-siteandlimitedremote,"Warsaw,Poland",[],0.0,0.0,,,,
3541,Full-time,Lead,DevOps,"Energy & Utilities, Green Energy",501–1k people,Private,£95k - 120k (British Pounds),None,"London,UK","['python', 'google-cloud-platform', 'terraform', 'kubernetes']",95000.0,120000.0,£,107954.54545454546,136363.63636363635,
3544,Full-time,None,Frontend Developer,Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA","['javascript', 'design', 'angularjs']",0.0,0.0,,,,
3545,Full-time,None,Mobile Developer,None,None,None,None,None,"NaviMumbai,India","['android', 'java', 'mobile']",0.0,0.0,,,,
3546,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['wordpress', 'angularjs', 'php']",0.0,0.0,,,,
3548,Full-time,Senior,Full Stack Developer,"B2B, Logistics & Distribution, Platforms",11–50 people,VC Funded,€55k - 75k (Euros),None,"Berlin,Deutschland","['python', 'flask', 'postgresql', 'amazon-web-services', 'angular']",55000.0,75000.0,€,55000.0,75000.0,
3550,Full-time,"Mid-Level, Senior, Lead","Backend Developer, Data Scientist","Artificial Intelligence, Cloud Services, Enterprise Software",11–50 people,Private,None,On-siteandlimitedremote,"Washington,DC",[],0.0,0.0,,,,
3557,Full-time,"Mid-Level, Senior, Lead",Data Scientist,"Finance, Financial Technology, Software Development / Engineering",51–200 people,Private,None,None,"NewportBeach,CA","['python-3.x', 'numpy', 'pandas', 'functional-programming', 'scipy']",0.0,0.0,,,,
3558,Full-time,"Mid-Level, Senior",QA/Test Developer,"Financial Services, Financial Technology",51–200 people,Private,None,None,"Berlin,Deutschland","['java', 'automation', 'selenium', 'testing']",0.0,0.0,,,,
3560,Full-time,None,QA/Test Developer,None,None,None,None,None,"NewYork,NY","['javascript', 'testing', 'css']",0.0,0.0,,,,
3562,Full-time,None,"Backend Developer, QA/Test Developer",None,None,None,None,None,"Hyderabad,India","['node.js', 'python', 'testing']",0.0,0.0,,,,
3563,Full-time,None,"Data Scientist, Mobile Developer",None,None,None,None,None,"Yokohama,Japan","['c', 'r', 'objective-c']",0.0,0.0,,,,
3565,Full-time,"Junior, Mid-Level",Backend Developer,None,None,None,None,None,"Jakarta,Indonesia","['java', 'aws']",0.0,0.0,,,,
3568,Full-time,Mid-Level,System Administrator,"Computer Software, Financial Services, Financial Technology",11–50 people,Private,$0 - 0 (US Dollars),None,"NewYork,NY","['python', 'linux', 'cloud', 'authentication']",0.0,0.0,$,0.0,0.0,
3569,Full-time,Senior,Backend Developer,"Medical Devices, Medical Diagnostics",51–200 people,Private,None,None,"Port,Switzerland","['c', 'java', 'c++']",0.0,0.0,,,,
3570,Full-time,None,QA/Test Developer,None,None,None,None,None,"Hyderabad,India","['testing', 'java', 'automated-tests']",0.0,0.0,,,,
3571,Full-time,None,QA/Test Developer,None,None,None,None,None,"Pune,India","['qa', 'selenium', 'c#']",0.0,0.0,,,,
3576,Full-time,Senior,"Frontend Developer, Full Stack Developer","Computer Games, PC Games",1k–5k people,Public,None,None,"Dublin,Ireland","['reactjs', 'ecmascript-6', 'angular', 'spring', 'ember.js']",0.0,0.0,,,,
3577,Full-time,Mid-Level,Full Stack Developer,"Digital Health, Health & Fitness, Medical Software",1–10 people,Private,$75k - 90k (US Dollars),None,"Columbus,OH","['angular', 'express', 'mysql', 'node.js', 'swift']",75000.0,90000.0,$,69444.44444444444,83333.33333333333,
3578,Full-time,None,"Backend Developer, Mobile Developer",None,None,None,None,None,"Chennai,India","['android', 'java', 'rest']",0.0,0.0,,,,
3580,Full-time,Senior,Desktop Developer,"Online Scheduling, Software Development, School software",51–200 people,Private,€50k - 65k (Euros),None,"Stockerau,Österreich","['c#', 'c++', 'mfc', '.net']",50000.0,65000.0,€,50000.0,65000.0,
3582,Full-time,"Mid-Level, Senior",Mobile Developer,"Cybersecurity, Machine Learning, SaaS",11–50 people,VC Funded,None,None,Singapore,"['objective-c', 'javascript', 'swift', 'java', 'kotlin']",0.0,0.0,,,,
3583,Full-time,None,Mobile Developer,None,None,None,None,None,"ShibuyaCity,Japan","['ruby-on-rails', 'ios', 'swift']",0.0,0.0,,,,
3585,Full-time,Junior,"DevOps, System Administrator","Banking, Finance, Financial Technology",1k–5k people,None,None,None,"Nürnberg,Deutschland","['bigdata', 'continuous-integration', 'continuous-delivery', 'data', 'linux', 'sysadmin']",0.0,0.0,,,,
3587,Full-time,None,Data Scientist,None,None,None,None,None,"Hyderabad,India","['python', 'r']",0.0,0.0,,,,
3588,Full-time,None,Designer,None,None,None,None,None,"Mumbai,India","['user-interface', 'user-experience', 'javascript']",0.0,0.0,,,,
3592,Full-time,"Junior, Mid-Level, Senior","Backend Developer, Desktop Developer","Network Monitoring Software, Software Development",201–500 people,Private,None,None,"Nürnberg,Deutschland","['c++', 'delphi', 'design-patterns', 'unit-testing']",0.0,0.0,,,,
3595,Full-time,"Mid-Level, Senior",Full Stack Developer,"Enterprise Web Solutions, Information Technology, Software Development / Engineering",1k–5k people,Private,None,None,"Zaventem,Belgium","['spring-boot', 'microservices', 'angular']",0.0,0.0,,,,
3596,Full-time,"Mid-Level, Senior",Mobile Developer,Mobile Application,11–50 people,VC Funded,€45k - 75k (Euros),None,"Mannheim,Germany","['android', 'mobile', 'kotlin']",45000.0,75000.0,€,45000.0,75000.0,
3597,Full-time,Mid-Level,Data Scientist,None,None,None,$100k - 110k (US Dollars),None,"Oakland,CA","['python', 'tableau']",100000.0,110000.0,$,92592.59259259258,101851.85185185184,
3599,Full-time,"Mid-Level, Senior",Frontend Developer,"Product Development, Software Development, Sports",501–1k people,Public,None,None,"București,Romania","['node.js', 'javascript', 'reactjs']",0.0,0.0,,,,
3600,Contract,"Junior, Mid-Level",Frontend Developer,Travel & Tourism,11–50 people,Private,None,On-siteandlimitedremote,"Grassina,Italy",[],0.0,0.0,,,,
3604,Full-time,None,System Administrator,None,None,None,None,None,"ChiyodaCity,Japan","['php', 'mysql', 'wordpress']",0.0,0.0,,,,
3605,Full-time,"Junior, Mid-Level, Senior",Frontend Developer,None,None,None,None,None,"Berlin,Deutschland","['javascript', 'scrum', 'kanban', 'angular', 'node.js']",0.0,0.0,,,,
3609,Full-time,None,Frontend Developer,None,None,None,None,None,"Indore,India","['php', 'jquery', 'html']",0.0,0.0,,,,
3610,Full-time,Senior,Backend Developer,"Agile Software Development, Digital Agency, Information Technology",11–50 people,Private,None,None,"Zürich,Schweiz","['java', 'spring', 'jenkins', 'microservices', 'jpa']",0.0,0.0,,,,
3615,Full-time,"Mid-Level, Senior, Lead",Mobile Developer,Software Development,51–200 people,Private,None,Remote,Noofficelocation,"['ios', 'objective-c', 'javascript', 'swift', 'xcode']",0.0,0.0,,,,
3616,Full-time,"Senior, Lead, Manager",Backend Developer,Financial Technology,11–50 people,Private,None,None,"NewYork,NY","['node.js', 'django', 'postgresql', 'git', 'api']",0.0,0.0,,,,
3618,Full-time,None,Mobile Developer,None,None,None,None,None,"大阪市,Japan","['java', 'android', 'java-ee']",0.0,0.0,,,,
3619,Full-time,"Mid-Level, Senior","DevOps, System Administrator",IT Recruitment,1–10 people,Private,€40k - 65k (Euros),Remote,"Karlsruhe,Deutschland",[],40000.0,65000.0,€,40000.0,65000.0,
3620,Full-time,None,Backend Developer,None,None,None,None,None,"NewDelhi,India","['python', 'css3', 'html']",0.0,0.0,,,,
3624,Full-time,"Mid-Level, Senior","Mobile Developer, QA/Test Developer","Agile Software Development, Artificial Intelligence, Medical Devices",10k+ people,Public,$90k - 120k (US Dollars),None,"LosAngeles,CA","['testing', 'c', 'java', 'ios', 'android']",90000.0,120000.0,$,83333.33333333333,111111.11111111111,
3625,Full-time,None,Backend Developer,"Information Technology, Telecommunications, Telematics",5k–10k people,Private,€48k - 55k (Euros),None,"KlagenfurtamWörthersee,Austria","['java', 'spring', 'spring-mvc', 'docker', 'ansible']",48000.0,55000.0,€,48000.0,55000.0,
3626,Full-time,None,Backend Developer,"Automotive, Information Technology, Software Development",51–200 people,Private,None,None,"Lisboa,Portugal","['java', 'spring-boot', 'hibernate', 'angular', 'json']",0.0,0.0,,,,
3628,Full-time,None,Full Stack Developer,None,None,None,None,None,"Kolkata,India","['angularjs', 'node.js', 'design']",0.0,0.0,,,,
3631,Full-time,"Mid-Level, Senior",QA/Test Developer,"Big Data, Data & Analytics, Internet of Things",11–50 people,Private,$130k - 140k (US Dollars),Remote,Noofficelocation,"['qa', 'python', 'pytest', 'testing', 'jira']",130000.0,140000.0,$,120370.37037037036,129629.62962962962,
3632,Full-time,"Junior, Mid-Level, Senior","Frontend Developer, Full Stack Developer","AI Research, Information Technology, Legal Technology",1–10 people,Private,$80k - 120k (US Dollars),On-siteandlimitedremote,"NewYork,NY",[],80000.0,120000.0,$,74074.07407407407,111111.11111111111,
3638,Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['android', 'java', 'user-interface']",0.0,0.0,,,,
3640,Full-time,Senior,Full Stack Developer,"Electronics, Industrial Automation, Software Development / Engineering",10k+ people,Public,None,None,"Amadora,Portugal","['go', 'python', 'ruby']",0.0,0.0,,,,
3643,Full-time,None,Embedded Developer,Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA","['embedded', 'c', 'python']",0.0,0.0,,,,
3645,Full-time,None,Frontend Developer,None,None,None,None,None,"ChuoCity,Japan","['reactjs', 'node.js', 'ember.js']",0.0,0.0,,,,
3646,Full-time,Mid-Level,QA/Test Developer,None,None,None,None,On-siteandlimitedremote,"Cittanova,Italy",[],0.0,0.0,,,,
3648,Full-time,"Mid-Level, Senior, Lead",Backend Developer,"Internet Infrastructure, Software Development / Engineering, Video Streaming",11–50 people,Private,None,None,"Budapest,Hungary","['php', 'mysql', 'docker', 'apache-kafka']",0.0,0.0,,,,
3654,Full-time,Senior,Data Scientist,"Mobile Application, Property Management",51–200 people,Private,None,None,"Cincinnati,OH","['r', 'machine-learning', 'python', 'amazon-sagemaker', 'jupyter-notebook']",0.0,0.0,,,,
3657,Full-time,Senior,Frontend Developer,"eCommerce, Food & Beverage, Logistics & Distribution",10k+ people,Public,None,None,"Berlin,Germany","['reactjs', 'redux', 'javascript', 'css']",0.0,0.0,,,,
3658,Full-time,"Mid-Level, Senior",Product Manager,Retail,10k+ people,Public,None,None,"Jacksonville,FL","['project-management', 'waterfall', 'agile']",0.0,0.0,,,,
3659,Full-time,None,"Database Administrator, QA/Test Developer",None,None,None,None,None,"Hyderabad,India","['oracle', 'automated-tests', 'web-services']",0.0,0.0,,,,
3661,Full-time,"Mid-Level, Senior",Frontend Developer,"Academic Research, Data & Analytics, Education",201–500 people,Public,None,None,"Chur,Schweiz","['javascript', 'html', 'css', 'python', 'angular']",0.0,0.0,,,,
3667,Full-time,None,Mobile Developer,None,None,None,None,None,"Osaka,Japan","['reactjs', 'swift', 'mysql']",0.0,0.0,,,,
3668,Full-time,"Junior, Mid-Level, Senior","DevOps, System Administrator","B2C, Software Development, Sports Technology",501–1k people,Private,None,None,"Boston,MA","['chef', 'ruby', 'python', 'amazon-web-services']",0.0,0.0,,,,
3669,Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['reactjs', 'mobile', 'node.js']",0.0,0.0,,,,
3671,Full-time,Senior,Backend Developer,"Agriculture, Computer Software, Web Development",51–200 people,Private,None,On-siteandlimitedremote,"Fargo,ND",[],0.0,0.0,,,,
3673,Full-time,None,Full Stack Developer,None,None,None,None,None,"Bengaluru,India","['.net', 'c#', 'reactjs']",0.0,0.0,,,,
3674,Full-time,None,"Backend Developer, Mobile Developer",None,None,None,None,None,"ShibuyaCity,Japan","['scala', 'objective-c', 'amazon-web-services']",0.0,0.0,,,,
3677,Full-time,None,Embedded Developer,None,None,None,None,None,"Bengaluru,India","['c++', 'embedded', 'qt']",0.0,0.0,,,,
3678,Full-time,None,Data Scientist,None,None,None,None,None,"Bengaluru,India","['azure', 'python', 'r']",0.0,0.0,,,,
3679,Full-time,None,"Designer, Full Stack Developer",None,None,None,None,None,"Hyderabad,India","['algorithm', 'mysql', 'user-experience']",0.0,0.0,,,,
3680,Full-time,None,Frontend Developer,None,None,None,None,None,"Indore,India","['wordpress', 'mysql', 'jquery']",0.0,0.0,,,,
3681,Full-time,"Student, Junior, Mid-Level",Backend Developer,"Consulting, Information Technology, IT Consulting",201–500 people,Private,None,None,"ValleyCity,ND","['java', '.net', 'java-ee', 'html', 'computer-science']",0.0,0.0,,,,
3682,Full-time,None,"Data Scientist, System Administrator","Cybersecurity, Federal Agencies, Signals Analysis",10k+ people,Public,$71k - 88k (US Dollars),None,"FortMeade,MD","['machine-learning', 'c', 'security', 'sysadmin']",71000.0,88000.0,$,65740.74074074073,81481.48148148147,
3683,Full-time,None,"Backend Developer, Frontend Developer",None,None,None,None,None,"Bengaluru,India","['angularjs', 'javascript', 'rest']",0.0,0.0,,,,
3686,Full-time,None,Embedded Developer,None,None,None,None,None,"Bengaluru,India","['embedded', 'linux', 'c']",0.0,0.0,,,,
3690,Full-time,Mid-Level,"DevOps, System Administrator","Agile Software Development, Governance,  Risk,  and Compliance, Information Technology",51–200 people,Private,€50k - 65k (Euros),On-siteandlimitedremote,"DenHaag,Netherlands",[],50000.0,65000.0,€,50000.0,65000.0,
3691,Full-time,"Senior, Lead",QA/Test Developer,"Financial Services, Financial Technology",11–50 people,Private,$90k - 110k (US Dollars),None,"Cleveland,OH","['selenium', 'jira', 'gherkin']",90000.0,110000.0,$,83333.33333333333,101851.85185185184,
3692,Full-time,"Mid-Level, Senior",QA/Test Developer,Internet of Things,11–50 people,Private,$70k - 100k (US Dollars),On-siteandlimitedremote,"Minneapolis,MN",[],70000.0,100000.0,$,64814.81481481481,92592.59259259258,
3699,Full-time,Senior,Backend Developer,"Collaboration Tools, Cybersecurity, Security Software",11–50 people,VC Funded,None,None,"Boston,MA","['cryptography', 'functional-programming', 'amazon-web-services', 'sql', 'elixir']",0.0,0.0,,,,
3710,Full-time,"Junior, Mid-Level","Data Scientist, Designer, Frontend Developer",None,None,None,€60k - 75k (Euros),None,"Munich,Germany","['user-experience', 'javascript', 'reactjs', 'machine-learning', 'frontend']",60000.0,75000.0,€,60000.0,75000.0,
3711,Full-time,"Senior, Lead",QA/Test Developer,"Information Technology, subscription economy, Web Technology",11–50 people,Private,€35k - 55k (Euros),None,"Berlin,Germany","['automated-tests', 'testing', 'qa']",35000.0,55000.0,€,35000.0,55000.0,
3720,Full-time,"Mid-Level, Senior",Frontend Developer,"Cloud Services, Embedded, Internet of Things",11–50 people,Private,None,On-siteandlimitedremote,"Amsterdam,Netherlands",[],0.0,0.0,,,,
3730,Full-time,None,Product Manager,None,None,None,None,None,"MinatoCity,Japan","['javascript', 'project-management', 'css']",0.0,0.0,,,,
3731,Full-time,None,DevOps,None,None,None,None,None,"ShinjukuCity,Japan","['linux', 'chef', 'ansible']",0.0,0.0,,,,
3736,Full-time,Senior,"Frontend Developer, QA/Test Developer","IT Recruitment, Recruiting, SaaS",1k–5k people,Private,None,None,"NewYork,NY","['angularjs', 'typescript', 'javascript', 'selenium', 'junit']",0.0,0.0,,,,
