"Company Name","Industry","Employment Type","Seniority Level","Company Location","position","Job Functions"
"BetaMed SA","Internet","Full-time","Entry level","Trzemeszno Lubuskie, PL","Pielęgniarka","Management Manufacturing",
"BetaMed SA","Hospital & Health Care","Full-time","Associate","Trzemeszno Lubuskie, PL","Pielęgniarka","Health Care Provider",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Wrocław, PL","Executive Assistant (Wrocław, 3349502)","Administrative",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Wrocław, PL","Executive Assistant (Wrocław, 3349502)","Administrative",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Wrocław, PL","HYDRAULIK","Management Manufacturing",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Wrocław, PL","HYDRAULIK","Management Manufacturing",
"KOB","Real Estate","Full-time","Entry level","Łódź, PL","Cieśla","Management Manufacturing",
"KOB","Real Estate","Full-time","Entry level","Łódź, PL","Cieśla","Management Manufacturing",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Associate","Poznań, PL","Financial Product Specialist","Sales Business Development",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Associate","Poznań, PL","Financial Product Specialist","Sales Business Development",
"PROFI CREDIT Polska S.A.","Financial Services","Full-time","Associate","Legnica, PL","Ciekawa oferta","Other",
"PROFI CREDIT Polska S.A.","Financial Services","Full-time","Associate","Legnica, PL","Ciekawa oferta","Other",
"Diseldorf","Financial Services","Full-time","Associate","Konin, PL","Drogowiec Niemcy","Other",
"Diseldorf","Financial Services","Full-time","Associate","Konin, PL","Drogowiec Niemcy","Other",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Wiślinka, PL","HYDRAULIK – do przyuczenia","Management Manufacturing",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Miedźna, PL","IT Helpdesk","Information Technology",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Nakło nad Notecią, PL","diagnosta klimatyzacji","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Associate","Zgierz, PL","Koordynator woj. Łódzkie","Other",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Ślusarz","Engineering Information Technology",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Zaścianki, PL","Administrator ds. IT","Information Technology",
"MCK","Internet","Full-time","Entry level","Praszka, PL","Operator maszyn","Engineering Information Technology",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Junior Google Ads Specialist (Warszawa, 3350496)","Business Development Sales",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Junior Google Ads Specialist (Warszawa, 3350496)","Business Development Sales",
"InterKadra Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Gdynia, PL","Merchandiser mobilny","Sales Business Development",
"InterKadra Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Gdynia, PL","Merchandiser mobilny","Sales Business Development",
"PROFI CREDIT Polska S.A.","Financial Services","Full-time","Entry level","Głogów, PL","Ciekawa oferta","Other",
"PROFI CREDIT Polska S.A.","Financial Services","Full-time","Entry level","Głogów, PL","Ciekawa oferta","Other",
"ART BAU GmbH","Financial Services","Full-time","Entry level","Opole, PL","Zbrojarz (NIEMCY)","Other",
"ART BAU GmbH","Financial Services","Full-time","Entry level","Opole, PL","Zbrojarz (NIEMCY)","Other",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Trzebnica, PL","Praca w markecie - 23zł/h - od zaraz","Other",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Trzebnica, PL","Praca w markecie - 23zł/h - od zaraz","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Associate","Konstantynów Łódzki, PL","Koordynator woj. Łódzkie","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Associate","Konstantynów Łódzki, PL","Koordynator woj. Łódzkie","Other",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","Junior IT Recruiter","Human Resources",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","Junior IT Recruiter","Human Resources",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Contract","Entry level","Warsaw, PL","Principal Data Scientist","Engineering Information Technology",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Contract","Entry level","Warsaw, PL","Principal Data Scientist","Engineering Information Technology",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Warsaw, PL","Kucharz","Management Manufacturing",
"InterKadra Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Pruszcz Gdański, PL","Merchandiser mobilny","Sales Business Development",
"Jobman Group Sp. z o.o.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Wykładanie towaru","Other",
"METMECH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Dąbrowa Górnicza, PL","Tokarz","Other",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Entry level","Łódź, PL","Financial Analyst with foreign languages","Finance Sales",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Pruszcz Gdański, PL","ELEKTRYK","Management Manufacturing",
"Global Spolka z o.o.","Logistics & Supply Chain","Full-time","Entry level","Warsaw, PL","PRACA! wykładanie towaru - Warszawa Białołęka","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Lublin, PL","Kucharz","Management Manufacturing",
"MCK","Internet","Full-time","Associate","Rymanów-Zdrój, PL","SPECJALISTA DS HANDLU I MARKETINGU","Marketing Sales",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Zaścianki, PL","Administrator ds. IT","Information Technology",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Zaścianki, PL","Administrator ds. IT","Information Technology",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Contract","Entry level","Warsaw, PL","Machine Learning Engineer","Engineering Information Technology",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Programista","Engineering Information Technology",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Programista","Engineering Information Technology",
"Jobman Group Sp. z o.o.","Information Technology & Services Financial Services Hospital & Health Care","Full-time","Entry level","Tarnów, PL","Wykładanie towaru","Other",
"Jobman Group Sp. z o.o.","Information Technology & Services Financial Services Hospital & Health Care","Full-time","Entry level","Tarnów, PL","Wykładanie towaru","Other",
"ARK Jobs.sp .z o.o.","Information Technology & Services Financial Services Hospital & Health Care","Full-time","Entry level","Zawiercie, PL","AUTOMATYK","Other",
"ARK Jobs.sp .z o.o.","Information Technology & Services Financial Services Hospital & Health Care","Full-time","Entry level","Zawiercie, PL","AUTOMATYK","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Associate","Warząchewka Polska, PL","Koordynator woj. Łódzkie","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Associate","Warząchewka Polska, PL","Koordynator woj. Łódzkie","Other",
"MCK","Internet","Full-time","Entry level","Rymanów-Zdrój, PL","FIZJOTERAPEUTA","Health Care Provider",
"MCK","Internet","Full-time","Entry level","Rymanów-Zdrój, PL","FIZJOTERAPEUTA","Health Care Provider",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Wrocław, PL","Executive Assistant (Wrocław , 3348811)","Administrative",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Wrocław, PL","Executive Assistant (Wrocław , 3348811)","Administrative",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Programista","Engineering Information Technology",
"Jobman Group Sp. z o.o.","Information Technology & Services Financial Services Hospital & Health Care","Full-time","Entry level","Wrocław, PL","Wykładanie towaru","Other",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Wrocław, PL","Koordynowanie projektem","Other",
"InterKadra Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Katowice, PL","Kompletacja zamówień/ picker/ magazynier","Management Manufacturing",
"PROFIT4YOU Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Gdańsk, PL","POKOJOWAPOKOJOWY","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Entry level","Kobyłka, PL","Wykładanie towaru i prace porządkowe Kobyłka!","Other",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Pruszcz Gdański, PL","Stolarz - pomocnik","Management Manufacturing",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Zambrów, PL","referent","Business Development Sales",
"MCK","Internet","Full-time","Entry level","Krosno, PL","LOGISTYK","Management Manufacturing",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Traffic Specialist (retargeting) (Warszawa, 3334905)","Marketing Public Relations Writing/Editing",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Katowice, PL","DevOps Engineer","Other",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Katowice, PL","DevOps Engineer","Other",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Programista","Engineering Information Technology",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Programista","Engineering Information Technology",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Bydgoszcz, PL","Czynności produkcyjne","Other",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Bydgoszcz, PL","Czynności produkcyjne","Other",
"Takeaway.com","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Witomino, PL","Dostarczaj z jedzenia Gdynia","Other",
"Takeaway.com","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Witomino, PL","Dostarczaj z jedzenia Gdynia","Other",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Wiślinka, PL","Stolarz - pomocnik","Management Manufacturing",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Wiślinka, PL","Stolarz - pomocnik","Management Manufacturing",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Traffic Specialist (retargeting) (Warszawa, 3348508)","Marketing Public Relations Writing/Editing",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Traffic Specialist (retargeting) (Warszawa, 3348508)","Marketing Public Relations Writing/Editing",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Katowice, PL","DevOps Engineer","Other",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","IT Test Analyst (ISTQB)","Information Technology",
"Jobman Group Sp. z o.o.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Kraków, PL","Wykładanie towaru","Other",
"Jobman Group Sp. z o.o.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Kraków, PL","Wykładanie towaru","Other",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Kraków, PL","Magazynier-kierowca","Sales Business Development",
"InterKadra Sp. z o.o.","Staffing & Recruiting Human Resources Retail","Full-time","Entry level","Warząchewka Polska, PL","Murarz","Other",
"Antal Poland","Staffing & Recruiting Human Resources Retail","Full-time","Entry level","Wrocław, PL","Operations Specialist","Management Manufacturing",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Wiślinka, PL","ELEKTRYK – do przyuczenia","Management Manufacturing",
"Global Spolka z o.o.","Logistics & Supply Chain","Full-time","Entry level","Kwidzyn, PL","Inwentaryzacja Kwidzyń","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Lublin, PL","Fakturzystka","Other",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Traffic Specialist (retargeting) (Warszawa, 3349500)","Marketing Public Relations Writing/Editing",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Contract","Associate","Warsaw, PL","Staff QA Engineer - Network","Quality Assurance",
"Jobman Group Sp. z o.o.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Warsaw, PL","Wykładanie towaru","Other",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Warsaw, PL","Magazynier","Sales Business Development",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Warsaw, PL","Magazynier","Sales Business Development",
"Global Spolka z o.o.","Logistics & Supply Chain","Full-time","Entry level","Toruń, PL","Inwentaryzacja Toruń","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Bartniczka, PL","Wędliniarz","Other",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Wrocław, PL","Technical Support (E-commerce) (Wrocław, 3350836)","Information Technology",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Wrocław, PL","Technical Support (E-commerce) (Wrocław, 3350836)","Information Technology",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Pruszcz Gdański, PL","ŚLUSARZ/SPAWACZ","Engineering Information Technology",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Pruszcz Gdański, PL","ŚLUSARZ/SPAWACZ","Engineering Information Technology",
"PFR S.A.","Internet","Full-time","Entry level","Warsaw, PL","Koordynator Programu PFR GREEN HUB","Other",
"PFR S.A.","Internet","Full-time","Entry level","Warsaw, PL","Koordynator Programu PFR GREEN HUB","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Entry level","Grabianów, PL","Magazynier Siedlce","Sales Business Development",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Entry level","Grabianów, PL","Magazynier Siedlce","Sales Business Development",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Grabianów, PL","Wulkanizator","Other",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Grabianów, PL","Wulkanizator","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Suchedniów, PL","Tartacznik","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Entry level","Częstochowa, PL","ewidencjowanie ilości klientów","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Entry level","Częstochowa, PL","ewidencjowanie ilości klientów","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Kolbuszowa, PL","Magazynier","Sales Business Development",
"Securitas Polska Sp. z o. o.","Government Administration","Full-time","Entry level","Łódź, PL","Securitas Polska Sp. z o. o.: Koordynator Ochrony","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Mława, PL","sprzątaczka","Management Manufacturing",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Mława, PL","sprzątaczka","Management Manufacturing",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Ostróda, PL","sprzątacz","Management Manufacturing",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Ostróda, PL","sprzątacz","Management Manufacturing",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Ochmanów, PL","Magazynier-Specjalista","Sales Business Development",
"Securitas Polska Sp. z o. o.","Government Administration","Full-time","Entry level","Konin, PL","Securitas Polska Sp. z o. o.: Koordynator Ochrony","Other",
"Securitas Polska Sp. z o. o.","Government Administration","Full-time","Entry level","Konin, PL","Securitas Polska Sp. z o. o.: Koordynator Ochrony","Other",
"Coberon","Electrical & Electronic Manufacturing Food & Beverages Food Production","Full-time","Entry level","Radzymin, PL","Lider utrzymania ruchu/Lider mechaników","Other",
"Coberon","Electrical & Electronic Manufacturing Food & Beverages Food Production","Full-time","Entry level","Radzymin, PL","Lider utrzymania ruchu/Lider mechaników","Other",
"Takeaway. com","Electrical & Electronic Manufacturing Food & Beverages Food Production","Full-time","Entry level","Ząbki, PL","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Electrical & Electronic Manufacturing Food & Beverages Food Production","Full-time","Entry level","Ząbki, PL","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Electrical & Electronic Manufacturing Food & Beverages Food Production","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Electrical & Electronic Manufacturing Food & Beverages Food Production","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Electrical & Electronic Manufacturing Food & Beverages Food Production","Full-time","Entry level","Piastów, PL","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Electrical & Electronic Manufacturing Food & Beverages Food Production","Full-time","Entry level","Piastów, PL","Takeaway. com: Dostarczaj Z Jedzenia Warszawa","Other",
"Exorigo-Upos sp. z o.o.","Information Technology & Services","Full-time","Entry level","Warsaw, PL","Junior System Administrator","Information Technology",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Sokołów Podlaski, PL","Nauczyciel","Education Training",
"Wirginia Szymańska","Government Administration","Full-time","Entry level","Warsaw, PL","Digital Analyst","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Kostry Śmiejki, PL","Pakowacz ręczny","Management Manufacturing",
"Exorigo-Upos sp. z o.o.","Information Technology & Services","Full-time","Entry level","Sochaczew, PL","Junior System Administrator","Information Technology",
"Exorigo-Upos sp. z o.o.","Information Technology & Services","Full-time","Entry level","Sochaczew, PL","Junior System Administrator","Information Technology",
"Flying Bisons","Online Media Internet Management Consulting","Full-time","Entry level","Warsaw, PL","Junior Digital Analyst","Other",
"Flying Bisons","Online Media Internet Management Consulting","Full-time","Entry level","Warsaw, PL","Junior Digital Analyst","Other",
"The Farm 51 Group SA","Defense & Space Chemicals Computer Games","Full-time","Entry level","Gliwice, PL","Junior Tester","Quality Assurance",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Pszczyna, PL","robotnik magazynowy","Management Manufacturing",
"Ark Jobs Sp. z o.o","Government Administration","Full-time","Entry level","Zawiercie, PL","Automatyk","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Łask, PL","Tatuażysta","Other",
""BEKERS" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Government Administration","Full-time","Entry level","Gdańsk, PL","Szlifierz","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Ownia, PL","Glazurnik","Other",
"Dana.pl Sp. z o.o.","Government Administration","Full-time","Entry level","Pruszcz Gdański, PL","Szwaczka","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Bartniczka, PL","Pakowacz","Management Manufacturing",
"Dana.pl Sp. z o.o.","Government Administration","Full-time","Entry level","Pruszcz Gdański, PL","Krojczy","Other",
"Dana.pl Sp. z o.o.","Government Administration","Full-time","Entry level","Pruszcz Gdański, PL","Krojczy","Other",
"React Poland","Information Technology & Services Computer Software Internet","Full-time","Entry level","Gliwice, PL","Junior QA","Quality Assurance",
"React Poland","Information Technology & Services Computer Software Internet","Full-time","Entry level","Gliwice, PL","Junior QA","Quality Assurance",
"HANKE TISSUE Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Kostrzyn nad Odrą, PL","SUSZARNIOWY","Other",
"HANKE TISSUE Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Kostrzyn nad Odrą, PL","SUSZARNIOWY","Other",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Rumia, PL","Takeaway. com: Dostarczaj Z Jedzenia Gdynia","Other",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Rumia, PL","Takeaway. com: Dostarczaj Z Jedzenia Gdynia","Other",
"Takeaway. com","Information Technology & Services Computer Software Internet","Full-time","Entry level","Reda, PL","Takeaway. com: Dostarczaj Z Jedzenia Gdynia","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Mińsk Mazowiecki, PL","Polernik/Szlifierz meblowych","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Mińsk Mazowiecki, PL","Polernik/Szlifierz meblowych","Other",
"TOMEK","Staffing & Recruiting Human Resources Banking","Full-time","Entry level","Słupsk, PL","Do ogrodu.","Other",
"TOMEK","Staffing & Recruiting Human Resources Banking","Full-time","Entry level","Słupsk, PL","Do ogrodu.","Other",
"AVL Software and Functions","Construction Automotive Utilities","Full-time","Entry level","Warsaw, PL","Junior IT Administrator with English(m/f/d)","Information Technology",
"AVL Software and Functions","Construction Automotive Utilities","Full-time","Entry level","Warsaw, PL","Junior IT Administrator with English(m/f/d)","Information Technology",
"Górnicki","Construction Automotive Utilities","Full-time","Entry level","Zawiercie, PL","Praca","Other",
"Górnicki","Construction Automotive Utilities","Full-time","Entry level","Zawiercie, PL","Praca","Other",
"TalentU","Research Insurance Financial Services","Full-time","Entry level","Warsaw, PL","DIgital Analyst","Other",
"KRAKEN BITCOIN EXCHANGE","Research Insurance Financial Services","Full-time","Entry level","Warsaw, PL","Compliance Associate","Finance Sales",
"Takeaway. com","Research Insurance Financial Services","Full-time","Entry level","Ząbki, PL","Takeaway. com: Kurier Warszawa","Management Manufacturing",
"Takeaway. com","Research Insurance Financial Services","Full-time","Entry level","Piaseczno, PL","Takeaway. com: Kurier Warszawa","Management Manufacturing",
"Takeaway. com","Research Insurance Financial Services","Full-time","Entry level","Piastów, PL","Takeaway. com: Kurier Warszawa","Management Manufacturing",
"Ark Jobs Sp. z o.o","Research Insurance Financial Services","Full-time","Entry level","Zawiercie, PL","Automatyk","Other",
"lento.pl","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Łódź, PL","opiekunk","Other",
"Miejskie Wodociągi i Oczyszczalnia Sp. z o.o.","Restaurants Food & Beverages Hospital & Health Care","Full-time","Entry level","Grudziądz, PL","Automatyk","Other",
"DDB Warszawa Sp z o.o.","Restaurants Food & Beverages Hospital & Health Care","Full-time","Associate","Warsaw, PL","Strategic Planner","Business Development Sales",
"DDB Warszawa Sp z o.o.","Restaurants Food & Beverages Hospital & Health Care","Full-time","Associate","Warsaw, PL","Strategic Planner","Business Development Sales",
"MW PROJECTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ GUP w Gdańsku","Restaurants Food & Beverages Hospital & Health Care","Full-time","Associate","Gdańsk, PL","Salowa","Other",
"MW PROJECTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ GUP w Gdańsku","Restaurants Food & Beverages Hospital & Health Care","Full-time","Associate","Gdańsk, PL","Salowa","Other",
"Wojam Sp. z o.o.","Automotive","Full-time","Associate","Bolęcin, PL","Lakiernik","Other",
"MCK Pleszew","Automotive","Full-time","Associate","Bralin, PL","Szwaczka maszynowa","Other",
"MCK Pleszew","Automotive","Full-time","Associate","Bralin, PL","Szwaczka maszynowa","Other",
"Instytut Hematologii i Transfuzjologii","Automotive","Full-time","Associate","Warsaw, PL","Salowa","Other",
"Instytut Hematologii i Transfuzjologii","Automotive","Full-time","Associate","Warsaw, PL","Salowa","Other",
"Ag Work","Automotive","Full-time","Associate","Koszalin, PL","Wzmocnienie","Other",
"Takeaway. com","Automotive","Full-time","Associate","Ząbki, PL","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Automotive","Full-time","Associate","Ząbki, PL","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Warszawa","Other",
"Takeaway. com","Automotive","Full-time","Associate","Piaseczno, PL","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Warszawa","Other",
"Centralna Baza Ofert Pracy","Automotive","Full-time","Associate","Piła, PL","ZALEWACZ FORM","Other",
"Centralna Baza Ofert Pracy","Automotive","Full-time","Associate","Piła, PL","ZALEWACZ FORM","Other",
"GOLDENCOM Spółka z O.O.","Automotive","Full-time","Associate","Zduńska Wola, PL","Szwaczka","Other",
"GOLDENCOM Spółka z O.O.","Automotive","Full-time","Associate","Zduńska Wola, PL","Szwaczka","Other",
"Zerke","Automotive","Full-time","Associate","Płock, PL","Koordynator robót","Other",
"Kuratorium Oświaty w Krakowie","Automotive","Full-time","Associate","Jawiszowice, PL","Surdopedagogika","Other",
"Kuratorium Oświaty w Krakowie","Automotive","Full-time","Associate","Jawiszowice, PL","Tyflopedagogika","Other",
"Jrzy Furmańczyk","Automotive","Full-time","Associate","Nowogard, PL","Żałobnik","Other",
"Inspire","Automotive","Full-time","Associate","Wrocław, PL","Theory of Matter under Extreme Conditions in Astrophysics","Other",
"Mindbox","Information Technology & Services Computer Software Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Junior Manual Tester @ Mindbox","Quality Assurance",
"The Farm 51 Group SA","Defense & Space Chemicals Computer Games","Full-time","Entry level","Gliwice, PL","Junior Community","Other",
"ECO S.C","Defense & Space Chemicals Computer Games","Full-time","Associate","Gorzów Wielkopolski, PL","Koordynator","Other",
"STORKJET SP. Z O.O.","Defense & Space Chemicals Computer Games","Full-time","Director","Katowice, PL","Product Owner","Engineering Information Technology",
"STORKJET SP. Z O.O.","Defense & Space Chemicals Computer Games","Full-time","Director","Katowice, PL","Product Owner","Engineering Information Technology",
"Takeaway. com","Defense & Space Chemicals Computer Games","Full-time","Director","Gdynia, PL","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdynia","Other",
"Takeaway. com","Defense & Space Chemicals Computer Games","Full-time","Director","Reda, PL","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdynia","Other",
"Takeaway. com","Defense & Space Chemicals Computer Games","Full-time","Director","Reda, PL","Takeaway. com: Praca Na Zmiany - Dostarczaj Z Jedzenia Gdynia","Other",
"MW PROJECTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Defense & Space Chemicals Computer Games","Full-time","Director","Gdańsk, PL","Salowa","Other",
"TAP.TALENT","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Wrocław, PL","Executive Board Assistant","Administrative",
"TAP.TALENT","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Wrocław, PL","Executive Board Assistant","Administrative",
